id_turma;discente;id_curso;unidade;nota;reposicao;faltas_unidade;media_final;numero_total_faltas;descricao;SEMESTRE
57657923;3651783e75e7092ac9d2a9003d45bad7;92127264;;;;;;;CANCELADO;2020-1
57657923;27da27414c7f09b7797bc6c32e58bcf4;92127264;;;;;;;DESISTENCIA;2020-1
57657923;31d81225e5a0295318aa8264464e09b1;92127264;;;;;;;EXCLUIDA;2020-1
57657923;e4caff7e063e019d019a550a2cc7ecce;92127264;;;;;;;INDEFERIDO;2020-1
57657923;9a96e1c354cd9915d9c1e45081c148f0;92127264;;;;;;;INDEFERIDO;2020-1
57657923;a5980b55c61e46cdec90f1293c3b4279;92127264;;;;;;;CANCELADO;2020-1
57657923;89b732f64266272d183c9b7c13ffce82;92127264;;;;;;;DESISTENCIA;2020-1
57657923;09823bc5d1ee3cb9cee2dadf2f32195d;92127264;;;;;;;CANCELADO;2020-1
57657923;5826ca54c04ae08d4e90209a79d785ff;92127264;;;;;;;INDEFERIDO;2020-1
57662708;f416d511a696550405f9e0c91de4fed0;92127264;1;3,8;false;0;2,4;8;EXCLUIDA;2020-5
57662708;f416d511a696550405f9e0c91de4fed0;92127264;2;3,3;false;0;2,4;8;EXCLUIDA;2020-5
57662708;f416d511a696550405f9e0c91de4fed0;92127264;3;0,0;false;0;2,4;8;EXCLUIDA;2020-5
57662708;48d2a6b78038d49fdb3f41057e126059;92127264;1;9,5;false;0;9,8;0;APROVADO;2020-5
57662708;48d2a6b78038d49fdb3f41057e126059;92127264;2;10,0;false;0;9,8;0;APROVADO;2020-5
57662708;48d2a6b78038d49fdb3f41057e126059;92127264;3;10,0;false;0;9,8;0;APROVADO;2020-5
57662708;3f35609bca4a07f29ec40d91eed364e9;92127264;1;8,0;false;0;8,5;2;APROVADO;2020-5
57662708;3f35609bca4a07f29ec40d91eed364e9;92127264;2;8,9;false;0;8,5;2;APROVADO;2020-5
57662708;3f35609bca4a07f29ec40d91eed364e9;92127264;3;8,5;false;0;8,5;2;APROVADO;2020-5
57662708;74fa6f77bcc4631148a6e1e41d323844;92127264;1;2,2;false;0;0,7;24;EXCLUIDA;2020-5
57662708;74fa6f77bcc4631148a6e1e41d323844;92127264;2;0,0;false;0;0,7;24;EXCLUIDA;2020-5
57662708;74fa6f77bcc4631148a6e1e41d323844;92127264;3;0,0;false;0;0,7;24;EXCLUIDA;2020-5
57662708;f8460975d1b6fd2bda9507db7abefd58;92127264;1;10,0;false;0;10,0;0;APROVADO;2020-5
57662708;f8460975d1b6fd2bda9507db7abefd58;92127264;2;10,0;false;0;10,0;0;APROVADO;2020-5
57662708;f8460975d1b6fd2bda9507db7abefd58;92127264;3;10,0;false;0;10,0;0;APROVADO;2020-5
57662708;517fc3dc768c8a0d1d9e7557f425abc9;92127264;;;;;;;INDEFERIDO;2020-5
57662708;342b06d8e30e008855627bec5c5d87c3;92127264;;;;;;;INDEFERIDO;2020-5
57662708;80ad8ce157caf4b2a043d3b0a7035d48;92127264;;;;;;;INDEFERIDO;2020-5
57662708;2b2af0e54b4e3d0e722ed495b9922c70;92127264;;;;;;;INDEFERIDO;2020-5
57662708;85a7465d77f7fda11b2cf4afd297df9c;92127264;;;;;;;INDEFERIDO;2020-5
57662708;6deccbed56a3b668d10e8efc741714ec;92127264;;;;;;;INDEFERIDO;2020-5
57662708;2b8678fb6be874ec9e65492df65b4d45;92127264;;;;;;;INDEFERIDO;2020-5
57662708;7d6db9f655e9be38f58a9d4585a41398;92127264;;;;;;;INDEFERIDO;2020-5
57662708;54cb998c39b048625dd31cb149299656;92127264;1;10,0;false;0;10,0;2;APROVADO;2020-5
57662708;54cb998c39b048625dd31cb149299656;92127264;2;10,0;false;0;10,0;2;APROVADO;2020-5
57662708;54cb998c39b048625dd31cb149299656;92127264;3;10,0;false;0;10,0;2;APROVADO;2020-5
57662708;d6de244250c778c72571a18ba1539f82;92127264;1;10,0;false;0;6,4;0;APROVADO POR NOTA;2020-5
57662708;d6de244250c778c72571a18ba1539f82;92127264;2;3,3;false;0;6,4;0;APROVADO POR NOTA;2020-5
57662708;d6de244250c778c72571a18ba1539f82;92127264;3;6,0;false;0;6,4;0;APROVADO POR NOTA;2020-5
57662708;0498dde42b89378def44dfab3e2efbaf;92127264;;;;;;;INDEFERIDO;2020-5
57662708;8a66b9471ece7b767a2adb53eba7f536;92127264;1;10,0;false;0;10,0;0;APROVADO;2020-5
57662708;8a66b9471ece7b767a2adb53eba7f536;92127264;2;10,0;false;0;10,0;0;APROVADO;2020-5
57662708;8a66b9471ece7b767a2adb53eba7f536;92127264;3;10,0;false;0;10,0;0;APROVADO;2020-5
57662708;801f86e7ba02d60820750523ca7f0431;92127264;;;;;;;INDEFERIDO;2020-5
57662708;6b319b343ea1b4ba481d219eecff9502;92127264;;;;;;;INDEFERIDO;2020-5
57662708;e754228f5d71921442cac7dd1a48bb33;92127264;1;9,5;false;0;9,7;0;APROVADO;2020-5
57662708;e754228f5d71921442cac7dd1a48bb33;92127264;2;9,5;false;0;9,7;0;APROVADO;2020-5
57662708;e754228f5d71921442cac7dd1a48bb33;92127264;3;10,0;false;0;9,7;0;APROVADO;2020-5
57662708;4aa6a2b0eac126c08246c152811ba51b;92127264;;;;;;;INDEFERIDO;2020-5
57662708;ff910d138566b3964caed0aae2063086;92127264;;;;;;;INDEFERIDO;2020-5
57662708;6c5380ba799263418724f9af3f241040;92127264;;;;;;;INDEFERIDO;2020-5
57662708;0f06dd99f1680b0efd2fe9268112e11b;92127264;;;;;;;INDEFERIDO;2020-5
57662708;450f520f170288075299a77d4dad109c;92127264;;;;;;;INDEFERIDO;2020-5
57662708;679b49cde4175ee3e4c24ffe3d94abc1;92127264;;;;;;;INDEFERIDO;2020-5
57662708;ef2d5c8c1f950a1cb376bbfb01954236;92127264;;;;;;;INDEFERIDO;2020-5
57662708;8069ad27659c40b26f4ce1faab6c5ccb;92127264;1;0,0;true;0;7,5;4;APROVADO;2020-5
57662708;8069ad27659c40b26f4ce1faab6c5ccb;92127264;2;4,2;false;0;7,5;4;APROVADO;2020-5
57662708;8069ad27659c40b26f4ce1faab6c5ccb;92127264;3;8,3;false;0;7,5;4;APROVADO;2020-5
57662708;05cc233113f5bf7e155940f08af2fa08;92127264;;;;;;;INDEFERIDO;2020-5
57662708;94d8b9379ec094cd5883cd719ae1345b;92127264;;;;;;;INDEFERIDO;2020-5
57662708;35a41fdcd22b22af9e0ac8a565a8246a;92127264;;;;;;;INDEFERIDO;2020-5
57662708;3cdf22a55ed3c3275b9b3d854f8fb02a;92127264;1;9,2;false;0;9,5;0;APROVADO;2020-5
57662708;3cdf22a55ed3c3275b9b3d854f8fb02a;92127264;2;9,8;false;0;9,5;0;APROVADO;2020-5
57662708;3cdf22a55ed3c3275b9b3d854f8fb02a;92127264;3;9,5;false;0;9,5;0;APROVADO;2020-5
57662708;66dffbe21060e1c3bb47a05ebb29b572;92127264;;;;;;;INDEFERIDO;2020-5
57662708;fbf056736ff890f05d1be82cf3d29b30;92127264;;;;;;;INDEFERIDO;2020-5
57662708;ef5889e63eb4e8730c71f51a192da05e;92127264;;;;;;;INDEFERIDO;2020-5
57662708;375f1ba9bc3ca6a749bf4867e45ed901;92127264;1;7,0;false;0;2,3;24;EXCLUIDA;2020-5
57662708;375f1ba9bc3ca6a749bf4867e45ed901;92127264;2;0,0;false;0;2,3;24;EXCLUIDA;2020-5
57662708;375f1ba9bc3ca6a749bf4867e45ed901;92127264;3;0,0;false;0;2,3;24;EXCLUIDA;2020-5
57662708;84287e618edf9c1ff9a179cfe0f53210;92127264;;;;;;;INDEFERIDO;2020-5
57662708;312e3edf39a72d333352df2a41f54f78;92127264;;;;;;;INDEFERIDO;2020-5
57662708;d02e4374799f67ae8d2ca35de41a95c0;92127264;;;;;;;INDEFERIDO;2020-5
57662708;48244590c3dfe8d745ff4695ce080bcd;92127264;;;;;;;INDEFERIDO;2020-5
57662708;09c8667a1e8da948735b41958900085c;92127264;1;5,0;false;0;1,7;22;EXCLUIDA;2020-5
57662708;09c8667a1e8da948735b41958900085c;92127264;2;0,0;false;0;1,7;22;EXCLUIDA;2020-5
57662708;09c8667a1e8da948735b41958900085c;92127264;3;0,0;false;0;1,7;22;EXCLUIDA;2020-5
57662708;3cf9f64a93cb63e826715e047cf5b672;92127264;1;0,0;true;0;7,2;8;APROVADO;2020-5
57662708;3cf9f64a93cb63e826715e047cf5b672;92127264;2;6,3;false;0;7,2;8;APROVADO;2020-5
57662708;3cf9f64a93cb63e826715e047cf5b672;92127264;3;9,3;false;0;7,2;8;APROVADO;2020-5
57662708;3d7414e7e523fd61490f36a578527e71;92127264;1;0,0;false;0;0,0;28;EXCLUIDA;2020-5
57662708;3d7414e7e523fd61490f36a578527e71;92127264;2;0,0;false;0;0,0;28;EXCLUIDA;2020-5
57662708;3d7414e7e523fd61490f36a578527e71;92127264;3;0,0;false;0;0,0;28;EXCLUIDA;2020-5
57662708;7c1591f2fbc1dda9f4aefa4b3d7f1439;92127264;2;9,5;false;0;9,3;0;APROVADO;2020-5
57662708;7c1591f2fbc1dda9f4aefa4b3d7f1439;92127264;3;10,0;false;0;9,3;0;APROVADO;2020-5
57662708;7c1591f2fbc1dda9f4aefa4b3d7f1439;92127264;1;8,5;false;0;9,3;0;APROVADO;2020-5
57662708;f9a1d23cad4b95e18c38365b32c5393c;92127264;1;6,2;false;0;8,7;2;APROVADO;2020-5
57662708;f9a1d23cad4b95e18c38365b32c5393c;92127264;2;10,0;false;0;8,7;2;APROVADO;2020-5
57662708;f9a1d23cad4b95e18c38365b32c5393c;92127264;3;10,0;false;0;8,7;2;APROVADO;2020-5
57662708;a1ab30c72652ec67c2199d32a84684cd;92127264;1;10,0;false;0;7,7;4;APROVADO;2020-5
57662708;a1ab30c72652ec67c2199d32a84684cd;92127264;2;7,2;false;0;7,7;4;APROVADO;2020-5
57662708;a1ab30c72652ec67c2199d32a84684cd;92127264;3;6,0;false;0;7,7;4;APROVADO;2020-5
57662708;a877668620d7f95c9e84b8e729d6aea4;92127264;1;8,5;false;0;9,0;0;APROVADO;2020-5
57662708;a877668620d7f95c9e84b8e729d6aea4;92127264;2;9,5;false;0;9,0;0;APROVADO;2020-5
57662708;a877668620d7f95c9e84b8e729d6aea4;92127264;3;9,0;false;0;9,0;0;APROVADO;2020-5
57662708;eeeae0a392c5f7ad48803fc19c31b5e0;92127264;1;5,1;false;0;7,3;10;APROVADO;2020-5
57662708;eeeae0a392c5f7ad48803fc19c31b5e0;92127264;2;6,8;false;0;7,3;10;APROVADO;2020-5
57662708;eeeae0a392c5f7ad48803fc19c31b5e0;92127264;3;10,0;false;0;7,3;10;APROVADO;2020-5
57662708;e94ba94870420a4e991f57a5b59e286c;92127264;1;10,0;false;0;9,8;0;APROVADO;2020-5
57662708;e94ba94870420a4e991f57a5b59e286c;92127264;2;10,0;false;0;9,8;0;APROVADO;2020-5
57662708;e94ba94870420a4e991f57a5b59e286c;92127264;3;9,5;false;0;9,8;0;APROVADO;2020-5
57662708;1de77e3b7e048f1e966e26be19f9376b;92127264;1;7,5;false;0;7,2;6;APROVADO;2020-5
57662708;1de77e3b7e048f1e966e26be19f9376b;92127264;2;9,1;false;0;7,2;6;APROVADO;2020-5
57662708;1de77e3b7e048f1e966e26be19f9376b;92127264;3;5,0;false;0;7,2;6;APROVADO;2020-5
57662708;303eec2d1150f5fbe8a62ed4a9e84d1e;92127264;1;9,8;false;0;9,9;0;APROVADO;2020-5
57662708;303eec2d1150f5fbe8a62ed4a9e84d1e;92127264;2;10,0;false;0;9,9;0;APROVADO;2020-5
57662708;303eec2d1150f5fbe8a62ed4a9e84d1e;92127264;3;10,0;false;0;9,9;0;APROVADO;2020-5
57662708;e5af110b6e9d13b2ae352cbc11553b6d;92127264;1;10,0;false;0;9,8;0;APROVADO;2020-5
57662708;e5af110b6e9d13b2ae352cbc11553b6d;92127264;2;9,5;false;0;9,8;0;APROVADO;2020-5
57662708;e5af110b6e9d13b2ae352cbc11553b6d;92127264;3;10,0;false;0;9,8;0;APROVADO;2020-5
57662708;ee4ce9b53359c9683e1e36beda032b76;92127264;2;0,0;false;0;0,0;28;EXCLUIDA;2020-5
57662708;ee4ce9b53359c9683e1e36beda032b76;92127264;3;0,0;false;0;0,0;28;EXCLUIDA;2020-5
57662708;ee4ce9b53359c9683e1e36beda032b76;92127264;1;0,0;false;0;0,0;28;EXCLUIDA;2020-5
